Index,Rented Bike Count
0,1914.3008
1,1429.633
2,2493.8408
3,1282.0396
4,276.97455
5,652.313
6,48.52332
7,781.3924
8,1257.0469
9,139.67711
10,268.5138
11,194.15363
12,1864.939
13,72.36604
14,21.219793
15,284.82593
16,691.28705
17,1015.5801
18,2512.6797
19,128.18852
20,44.425106
21,998.9358
22,185.92007
23,468.98453
24,272.40808
25,779.8166
26,160.3721
27,989.24805
28,241.60112
29,129.7699
30,219.72879
31,57.90658
32,78.25488
33,431.4026
34,449.1512
35,1358.3933
36,1835.152
37,72.86974
38,1425.8937
39,1450.8157
40,84.44953
41,226.78636
42,631.2479
43,199.02478
44,723.90686
45,935.9914
46,147.6084
47,802.3343
48,1450.9125
49,250.42242
50,1908.7487
51,295.22745
52,199.52954
53,481.72754
54,187.07
55,98.12999
56,853.5781
57,747.8293
58,176.56503
59,186.67296
60,1561.039
61,812.7144
62,575.35535
63,228.38257
64,31.234184
65,180.27423
66,44.3511
67,1757.8905
68,982.5937
69,179.53018
70,1376.552
71,736.4648
72,106.89648
73,2055.0012
74,510.0047
75,1628.6674
76,643.9169
77,1513.2737
78,316.02203
79,428.8188
80,169.24382
81,108.364685
82,221.56418
83,516.9001
84,884.92896
85,260.04816
86,44.59505
87,2482.4297
88,127.45231
89,1150.9852
90,622.37
91,35.74579
92,775.5276
93,826.51117
94,775.57837
95,2036.7108
96,200.9399
97,761.84125
98,513.2967
99,188.59506
100,359.2611
101,860.8557
102,435.82828
103,132.30478
104,304.80148
105,1604.1797
106,690.0207
107,2509.2158
108,57.65978
109,890.2501
110,123.13036
111,405.2943
112,851.15753
113,560.7385
114,1453.6821
115,221.2117
116,1406.9635
117,863.50995
118,33.001133
119,80.93568
120,211.27542
121,229.93628
122,292.51315
123,737.04034
124,1231.2413
125,209.70847
126,1156.7095
127,969.45984
128,0.0
129,219.94684
130,91.027504
131,1552.0752
132,99.168144
133,1375.97
134,973.03235
135,374.24182
136,1599.8855
137,879.27234
138,95.59727
139,253.5443
140,538.49774
141,389.98593
142,673.24756
143,1318.2076
144,192.70767
145,1343.0636
146,119.500885
147,83.330376
148,50.09763
149,314.55542
150,115.41579
151,843.61786
152,292.79465
153,1219.0985
154,176.31163
155,1086.184
156,361.27338
157,78.275475
158,269.19235
159,319.85812
160,29.96178
161,65.31682
162,85.32853
163,851.50037
164,580.31665
165,1980.6755
166,450.82013
167,511.47708
168,111.14205
169,1273.0886
170,753.31604
171,70.110466
172,704.2211
173,285.3694
174,504.3787
175,29.4889
176,532.41406
177,278.02933
178,128.98096
179,3056.1738
180,764.5038
181,953.1776
182,160.83043
183,1786.1981
184,318.4439
185,291.62457
186,2035.786
187,812.79663
188,251.11975
189,881.4383
190,167.0936
191,67.50349
192,1185.6239
193,340.79938
194,684.2656
195,201.8342
196,95.197525
197,41.222805
198,168.9273
199,77.18115
200,1554.8312
201,930.4115
202,169.5053
203,95.487625
204,875.4868
205,1455.269
206,949.04565
207,42.14529
208,1423.693
209,148.13899
210,1612.332
211,235.29936
212,46.834297
213,756.4717
214,383.9491
215,296.5075
216,961.5745
217,1249.134
218,1287.1332
219,956.9957
220,1138.1583
221,354.1257
222,895.98035
223,516.5144
224,231.44087
225,1040.9513
226,663.96124
227,69.51039
228,729.769
229,1339.6918
230,109.22724
231,639.4234
232,356.63934
233,117.926025
234,1007.81525
235,108.138756
236,468.23184
237,672.182
238,1207.0856
239,1011.57855
240,416.63095
241,1114.2002
242,294.1269
243,1677.2935
244,514.00653
245,0.0
246,581.0483
247,674.6111
248,836.8873
249,2188.7195
250,1330.8691
251,263.17615
252,565.5286
253,998.1949
254,25.49451
255,918.1781
256,999.47723
257,724.7093
258,194.47401
259,77.346825
260,1762.3988
261,299.0306
262,691.9101
263,48.49539
264,977.6113
265,1014.522
266,258.40363
267,826.02106
268,1764.5623
269,186.14749
270,1265.7616
271,479.4827
272,1731.6235
273,473.59006
274,1788.364
275,679.0949
276,1624.6913
277,801.98645
278,762.6112
279,3152.8696
280,822.25964
281,1830.2947
282,0.0
283,575.2043
284,1131.013
285,86.389175
286,104.11582
287,1395.2169
288,757.4454
289,365.06177
290,1173.0968
291,29.741655
292,2056.0818
293,0.0
294,751.35205
295,242.79994
296,801.87714
297,54.1635
298,539.3955
299,260.3568
300,290.35864
301,551.80505
302,739.1783
303,539.08374
304,81.93463
305,124.37538
306,411.38898
307,896.9247
308,197.96083
309,1401.6836
310,727.7758
311,1643.6259
312,199.17918
313,948.7553
314,1159.3132
315,412.5963
316,809.439
317,311.89502
318,22.404873
319,383.40817
320,793.6028
321,673.368
322,2157.3477
323,276.50525
324,831.8528
325,2790.4714
326,16.300865
327,150.89085
328,310.3305
329,438.03024
330,754.3547
331,1668.6815
332,216.3759
333,1041.9006
334,516.20526
335,993.03516
336,654.3828
337,198.58112
338,410.12775
339,618.4998
340,701.36865
341,982.33856
342,800.5205
343,589.98425
344,721.9478
345,366.47964
346,38.912113
347,1162.8588
348,983.98755
349,371.60092
350,1732.2456
351,1358.1821
352,702.09216
353,289.19824
354,921.4112
355,123.796104
356,844.63635
357,2356.5867
358,112.66281
359,1618.8997
360,278.07034
361,1192.8134
362,96.688995
363,102.819916
364,397.58945
365,65.82299
366,225.43552
367,124.9007
368,261.27753
369,1321.0344
370,2069.226
371,730.3712
372,869.5877
373,138.57462
374,1115.3069
375,1052.4718
376,892.5497
377,1074.8965
378,413.74408
379,532.19495
380,37.805973
381,855.73975
382,1648.0295
383,1471.6007
384,609.99927
385,227.52637
386,108.86897
387,1729.904
388,1893.1965
389,98.86904
390,212.48404
391,494.6113
392,1242.9712
393,943.1465
394,945.4584
395,507.75742
396,412.62622
397,184.55843
398,446.98517
399,949.1477
400,824.1396
401,202.4809
402,2114.8552
403,1339.8358
404,873.6814
405,1681.0895
406,335.1241
407,836.8059
408,101.337524
409,320.62735
410,1036.8307
411,1316.5284
412,63.635475
413,33.731716
